Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0,-264.499603,1449.279297,110.154167,-252.170624,1349.159668,100.133026
1,0.002778,-264.510895,1449.279297,110.149376,-252.151398,1349.098633,100.088425
2,0.005556,-264.510162,1449.282349,110.165245,-252.144104,1349.099243,100.084373
3,0.008333,-264.48349,1449.264038,110.172279,-252.146088,1349.098755,100.105209
4,0.011111,-264.511444,1449.282104,110.153084,-252.1548,1349.100952,100.09626
5,0.013889,-264.479187,1449.27002,110.156349,-252.151337,1349.102905,100.083374
6,0.016667,-264.488495,1449.275757,110.159912,-252.16925,1349.088379,100.108932
7,0.019444,-264.511749,1449.296021,110.14315,-252.150513,1349.109131,100.08593
8,0.022222,-264.476379,1449.273438,110.165123,-252.155716,1349.115723,100.094315
9,0.025,-264.490479,1449.275879,110.164803,-252.152924,1349.11853,100.085052
10,0.027778,-264.486938,1449.28064,110.159256,-252.147827,1349.119507,100.090027
11,0.030556,-264.487366,1449.286255,110.171852,-252.159363,1349.133179,100.091232
12,0.033333,-264.512451,1449.306763,110.151993,-252.161346,1349.125854,100.097801
13,0.036111,-264.482849,1449.2854,110.168564,-252.159332,1349.120483,100.082962
14,0.038889,-264.510223,1449.306519,110.166283,-252.16394,1349.12561,100.076454
15,0.041667,-264.447388,1449.288208,110.109268,-252.160019,1349.124512,100.092163
16,0.044444,-264.499634,1449.308838,110.166229,-252.187012,1349.181274,100.114677
17,0.047222,-264.449432,1449.285767,110.105873,-252.166306,1349.12915,100.087128
18,0.05,-264.475281,1449.305176,110.088242,-252.189163,1349.17749,100.092171
19,0.052778,-264.478699,1449.289551,110.174919,-252.184875,1349.178711,100.106583
20,0.055556,-264.498688,1449.299438,110.15979,-252.184891,1349.168579,100.106232
21,0.058333,-264.454224,1449.28186,110.104012,-252.170502,1349.114502,100.081505
22,0.061111,-264.473816,1449.30249,110.099594,-252.165375,1349.106323,100.065132
23,0.063889,-263.649628,1450.738037,109.248863,-252.167648,1349.120972,100.067474
24,0.066667,-264.473846,1449.301758,110.087677,-252.178543,1349.11853,100.074738
25,0.069444,-264.456055,1449.278931,110.110863,-252.195038,1349.092896,100.09185
26,0.072222,-264.455719,1449.275146,110.109306,-252.177032,1349.114136,100.078697
27,0.075,-264.475128,1449.294312,110.099388,-252.197357,1349.083496,100.098145
28,0.077778,-264.465973,1449.295166,110.100243,-252.190262,1349.085693,100.086479
29,0.080556,-264.448425,1449.273193,110.094772,-252.190445,1349.084717,100.085648
30,0.083333,-264.47049,1449.292847,110.086685,-252.182938,1349.108276,100.058311
31,0.086111,-264.445709,1449.276978,110.098473,-252.193008,1349.089233,100.091682
32,0.088889,-264.458344,1449.276489,110.100189,-252.190826,1349.08374,100.095032
33,0.091667,-264.449249,1449.271729,110.097633,-252.189987,1349.079102,100.079849
34,0.094444,-264.507721,1449.298218,110.14949,-252.191818,1349.085693,100.087692
35,0.097222,-264.483917,1449.272461,110.169891,-252.189941,1349.078491,100.096199
36,0.1,-264.445251,1449.276489,110.09301,-252.202896,1349.084351,100.081093
37,0.102778,-264.450073,1449.271973,110.079193,-252.189102,1349.078857,100.073341
38,0.105556,-264.496246,1449.30249,110.165527,-252.191895,1349.085083,100.076698
39,0.108333,-264.476013,1449.273682,110.165703,-252.193512,1349.081055,100.087738
40,0.111111,-264.472504,1449.275146,110.168327,-252.192047,1349.083496,100.092003
41,0.113889,-264.495697,1449.293091,110.16243,-252.191818,1349.087769,100.078033
42,0.116667,-264.513458,1449.292358,110.147118,-252.198303,1349.084839,100.07888
43,0.119444,-264.487366,1449.265991,110.183662,-252.189362,1349.079102,100.079872
44,0.122222,-264.47937,1449.269653,110.157936,-252.191635,1349.073853,100.08493
45,0.125,-264.500641,1449.282959,110.156975,-252.196732,1349.080444,100.06855
46,0.127778,-264.502991,1449.292114,110.155815,-252.198669,1349.074341,100.083763
47,0.130556,-264.513397,1449.280518,110.15255,-252.200104,1349.070435,100.082024
48,0.133333,-264.508301,1449.278931,110.148125,-252.202332,1349.06958,100.077515
49,0.136111,-264.515808,1449.274536,110.167221,-252.19754,1349.077393,100.082726
50,0.138889,-264.469971,1449.276245,110.083122,-252.197586,1349.076172,100.083649
51,0.141667,-264.501343,1449.274902,110.155731,-252.199677,1349.071777,100.06636
52,0.144444,-264.511627,1449.274658,110.163078,-252.190857,1349.066406,100.082214
53,0.147222,-264.482819,1449.279785,110.09539,-252.207108,1349.070313,100.087265
54,0.15,-264.511627,1449.27356,110.164391,-252.198578,1349.072998,100.07679
55,0.152778,-264.484283,1449.278442,110.098076,-252.20639,1349.084839,100.091827
56,0.155556,-263.087677,1449.672974,110.902206,-252.208405,1349.075928,100.087265
57,0.158333,-264.51001,1449.282104,110.170929,-252.203171,1349.082764,100.090553
58,0.161111,-263.072906,1449.682983,110.904297,-252.211685,1349.084839,100.082397
59,0.163889,-264.525726,1449.278076,110.173843,-252.20462,1349.084473,100.091919
60,0.166667,-263.085846,1449.681152,110.905869,-252.205307,1349.084717,100.098793
61,0.169444,-264.513916,1449.284302,110.173447,-252.212616,1349.094116,100.099571
62,0.172222,-263.083679,1449.683594,110.904327,-252.209869,1349.087158,100.103546
63,0.175,-264.487396,1449.285645,110.104958,-252.206451,1349.089966,100.097328
64,0.177778,-262.991272,1449.672363,110.954544,-252.204773,1349.0979,100.103218
65,0.180556,-264.525085,1449.289551,110.179802,-252.207764,1349.090698,100.097984
66,0.183333,-263.007172,1449.671753,110.960388,-252.20755,1349.087524,100.107559
67,0.186111,-264.533722,1449.282959,110.175583,-252.203049,1349.085938,100.104591
68,0.188889,-262.99527,1449.666748,110.966858,-252.203918,1349.085815,100.09626
69,0.191667,-264.532928,1449.284424,110.180298,-252.202209,1349.08606,100.080185
70,0.194444,-263.000092,1449.661377,110.958496,-252.196106,1349.085693,100.11145
71,0.197222,-264.530304,1449.275879,110.17189,-252.204178,1349.084473,100.085556
72,0.2,-262.998627,1449.660889,110.965225,-252.197922,1349.087646,100.087349
73,0.202778,-264.520111,1449.273315,110.17897,-252.199203,1349.078369,100.096153
74,0.205556,-262.983917,1449.623657,110.970589,-252.195862,1349.082642,100.091896
75,0.208333,-264.527618,1449.256836,110.170967,-252.187424,1349.075928,100.095711
76,0.211111,-262.979156,1449.635864,110.966331,-252.192474,1349.066406,100.081223
77,0.213889,-264.503387,1449.230225,110.170631,-252.186386,1349.060547,100.091362
78,0.216667,-262.977264,1449.626465,110.959175,-252.195297,1349.059326,100.091293
79,0.219444,-264.51059,1449.252197,110.166016,-252.191849,1349.055664,100.076157
80,0.222222,-263.068756,1449.635376,110.912369,-252.191757,1349.053223,100.077202
81,0.225,-264.495361,1449.215454,110.173462,-252.190979,1349.050659,100.084763
82,0.227778,-262.992065,1449.619995,110.959633,-252.186417,1349.051758,100.084366
83,0.230556,-264.514526,1449.247314,110.173515,-252.197708,1349.05249,100.090263
84,0.233333,-262.995697,1449.619385,110.948784,-252.195328,1349.046997,100.085304
85,0.236111,-262.517944,1447.781982,111.495293,-252.20108,1349.051758,100.071899
86,0.238889,-264.519806,1449.243408,110.161964,-252.188446,1349.052124,100.08168
87,0.241667,-262.992889,1449.623535,110.955124,-252.201202,1349.054321,100.083069
88,0.244444,-264.52063,1449.251953,110.182442,-252.192764,1349.067505,100.092369
89,0.247222,-262.996674,1449.639038,110.956551,-252.198105,1349.072388,100.069077
90,0.25,-264.525116,1449.267822,110.167046,-252.19783,1349.072754,100.096504
91,0.252778,-262.505432,1447.80127,111.503456,-252.199921,1349.092773,100.101524
92,0.255556,-264.510284,1449.283813,110.175072,-252.197571,1349.095093,100.092651
93,0.258333,-262.977051,1449.657715,110.945503,-252.216278,1349.154907,100.131798
94,0.261111,-264.51001,1449.296631,110.184502,-252.197617,1349.112183,100.09832
95,0.263889,-264.481812,1449.282593,110.191818,-252.216019,1349.170288,100.136841
96,0.266667,-264.501862,1449.309082,110.190033,-252.220901,1349.175293,100.13105
97,0.269444,-264.477417,1449.319092,110.103607,-252.217682,1349.166138,100.123055
98,0.272222,-264.509827,1449.313721,110.170479,-252.218369,1349.174194,100.139641
99,0.275,-264.474854,1449.31604,110.100372,-252.218033,1349.172363,100.130005
100,0.277778,-264.485443,1449.287354,110.194092,-252.21402,1349.168335,100.128159
101,0.280556,-264.457489,1449.292969,110.120415,-252.22316,1349.170288,100.134468
102,0.283333,-264.481354,1449.28186,110.173584,-252.218002,1349.171997,100.141098
103,0.286111,-264.501312,1449.299561,110.181839,-252.215775,1349.162354,100.148911
104,0.288889,-264.474823,1449.270996,110.168343,-252.225632,1349.154541,100.134705
105,0.291667,-264.486328,1449.259277,110.18203,-252.202606,1349.087646,100.106041
106,0.294444,-264.480957,1449.261597,110.171829,-252.194763,1349.085693,100.092651
107,0.297222,-264.474121,1449.245605,110.16761,-252.19696,1349.080933,100.097977
