Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,148.231674,-14.566477,173.049393,-264.584503,1449.270264,110.207893,-1.271136,-5.98533,-2.618037,-252.191162,1349.036987,100.052567
1,0.002778,148.212708,-14.543245,173.053864,-264.587463,1449.276123,110.205711,-1.210001,-5.979798,-2.606081,-252.200516,1349.029297,100.038383
2,0.005556,148.242569,-14.589299,173.047607,-264.575409,1449.269287,110.196457,-1.163452,-5.97918,-2.540463,-252.196228,1349.025146,100.036934
3,0.008333,148.233643,-14.569999,173.064178,-264.584808,1449.272217,110.201042,-1.149561,-5.963444,-2.517571,-252.198822,1349.032104,100.037827
4,0.011111,148.255005,-14.573981,173.087921,-264.585693,1449.268677,110.210609,-1.142782,-5.949151,-2.580417,-252.19664,1349.039795,100.031044
5,0.013889,148.257935,-14.590268,173.085999,-264.58432,1449.279175,110.21048,-1.126495,-5.950569,-2.638114,-252.196487,1349.036133,100.04274
6,0.016667,148.313293,-14.612336,173.063324,-264.579407,1449.273071,110.217171,-1.099151,-5.924511,-2.633745,-252.199112,1349.04834,100.048302
7,0.019444,148.278442,-14.667579,173.011215,-264.579834,1449.285156,110.207703,-1.059032,-5.970217,-2.631709,-252.182327,1349.053833,100.076546
8,0.022222,148.330887,-14.625388,173.036499,-264.57959,1449.290894,110.21862,-1.027909,-5.932894,-2.642399,-252.197449,1349.056396,100.045372
9,0.025,148.352402,-14.611362,173.042282,-264.580719,1449.295044,110.205772,-0.960121,-5.93986,-2.629088,-252.192169,1349.059448,100.063507
10,0.027778,148.352844,-14.629373,173.040314,-264.579742,1449.294434,110.205254,-0.897877,-5.925916,-2.57775,-252.192795,1349.072388,100.067863
11,0.030556,148.399399,-14.639076,173.054321,-264.576691,1449.303101,110.222626,-0.577294,-5.811071,-2.59834,-252.21756,1349.125244,100.081055
12,0.033333,148.407043,-14.652559,173.035416,-264.57019,1449.314331,110.212143,-0.579915,-5.823344,-2.568075,-252.21524,1349.12854,100.081238
13,0.036111,148.422531,-14.63484,173.100052,-264.575775,1449.3125,110.22657,-0.544873,-5.82924,-2.597924,-252.213806,1349.137329,100.105766
14,0.038889,148.402405,-14.616755,173.035843,-264.573578,1449.328125,110.219566,-0.531579,-5.845918,-2.585885,-252.209396,1349.140991,100.103973
15,0.041667,148.810516,-14.674731,173.121124,-264.603516,1449.341431,110.245789,-0.568944,-5.818331,-2.559964,-252.204086,1349.150146,100.102623
16,0.044444,148.775528,-14.674687,173.101364,-264.600403,1449.345947,110.244835,-0.590158,-5.813763,-2.597841,-252.213455,1349.162476,100.105988
17,0.047222,148.806915,-14.691684,173.143402,-264.598541,1449.343994,110.262032,-0.604519,-5.788051,-2.642291,-252.213745,1349.153198,100.121201
18,0.05,148.322418,-14.580243,173.025665,-264.585663,1449.337402,110.221535,-0.645441,-5.8024,-2.598526,-252.210831,1349.156372,100.0951
19,0.052778,148.734055,-14.63837,173.09874,-264.60791,1449.356934,110.253403,-0.855305,-5.682355,-2.678624,-252.185638,1349.17688,100.091736
20,0.055556,148.327194,-14.582811,173.013947,-264.585907,1449.33374,110.229385,-0.897424,-5.689901,-2.680552,-252.187881,1349.18042,100.094803
21,0.058333,148.281494,-14.595695,172.961441,-264.582764,1449.336182,110.212936,-0.930722,-5.660397,-2.659767,-252.185349,1349.169312,100.094467
22,0.061111,148.395569,-14.456815,172.87941,-264.61618,1449.2771,110.21534,-1.291057,-5.788695,-2.737699,-252.159531,1349.111084,100.055
23,0.063889,148.215424,-14.559443,172.956375,-264.582123,1449.320801,110.220749,-1.346987,-5.817549,-2.661566,-252.153961,1349.101685,100.054787
24,0.066667,148.218384,-14.572659,172.963028,-264.57959,1449.310181,110.214523,-1.393261,-5.795013,-2.767736,-252.156616,1349.087402,100.047874
25,0.069444,-4.291932,22.977715,4.584145,-263.723724,1450.728638,109.276405,-1.373613,-5.81015,-2.713328,-252.142136,1349.069092,100.033035
26,0.072222,148.124664,-14.511816,172.976837,-264.574432,1449.304565,110.215698,-1.436399,-5.842357,-2.717844,-252.143112,1349.067627,100.042015
27,0.075,148.163177,-14.507584,172.98056,-264.572266,1449.297119,110.211891,-1.447133,-5.842871,-2.585658,-252.138077,1349.070068,100.043945
28,0.077778,148.149765,-14.545165,172.986511,-264.567719,1449.293213,110.209305,-1.485838,-5.86075,-2.655339,-252.136047,1349.062378,100.029068
29,0.080556,-4.312358,22.964783,4.356164,-263.704681,1450.73877,109.286789,-1.417545,-5.848097,-2.594232,-252.137543,1349.046387,100.037796
30,0.083333,-87.518234,-77.843407,117.850204,-262.911743,1449.733154,111.085922,-1.4983,-5.847757,-2.711987,-252.142883,1349.05542,100.032631
31,0.086111,148.153778,-14.536061,173.037964,-264.574463,1449.291626,110.206848,-1.517207,-5.87345,-2.703123,-252.141052,1349.053223,100.036766
32,0.088889,-4.798301,23.438337,7.001014,-263.77475,1450.656372,109.165466,-1.448045,-5.844005,-2.687465,-252.136475,1349.038818,100.053329
33,0.091667,-87.413208,-77.827591,117.974747,-262.911072,1449.71582,111.094635,-1.45812,-5.829453,-2.715515,-252.138138,1349.04541,100.039276
34,0.094444,-87.278511,-79.352272,118.713768,-262.875549,1449.390137,111.089554,-1.425051,-5.847881,-2.641873,-252.134109,1349.044189,100.058784
35,0.097222,148.392944,-14.501231,172.976349,-264.594666,1449.219849,110.196442,-1.358257,-5.8348,-2.632025,-252.142548,1349.039673,100.042488
36,0.1,-85.281853,-77.132301,117.861183,-262.96344,1449.61438,110.974098,-1.337343,-5.838491,-2.671607,-252.141647,1349.040039,100.052917
37,0.102778,148.426971,-14.482661,173.007523,-264.602173,1449.223999,110.199379,-1.303781,-5.83974,-2.617809,-252.140915,1349.043457,100.036118
38,0.105556,-3.883852,22.933825,4.13098,-263.743744,1450.61792,109.263443,-1.291699,-5.83301,-2.666362,-252.148773,1349.049683,100.056053
39,0.108333,-87.741753,-77.78994,117.683739,-262.90976,1449.719238,111.085342,-1.297359,-5.835838,-2.705934,-252.149933,1349.062378,100.049423
