Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,149.041199,-14.576139,173.10643,-264.630432,1449.283325,110.19899,-0.555996,-5.910923,-2.485803,-252.186752,1349.13916,100.161774
1,0.002778,148.907883,-14.701279,173.181366,-264.594849,1449.328491,110.197571,-0.53653,-5.895175,-2.428902,-252.184479,1349.144043,100.152405
2,0.005556,148.54866,-14.677626,173.151382,-264.577057,1449.310303,110.180115,-0.521297,-5.924592,-2.475553,-252.18132,1349.133545,100.164001
3,0.008333,148.944687,-14.74687,173.226456,-264.592926,1449.322388,110.184662,-0.569115,-5.914243,-2.464645,-252.183075,1349.133545,100.136276
4,0.011111,148.569946,-14.688763,173.201202,-264.581635,1449.306641,110.170647,-0.54771,-5.933259,-2.397346,-252.186447,1349.136841,100.133675
5,0.013889,148.598083,-14.693387,173.23085,-264.583069,1449.290161,110.165047,-0.757901,-5.832719,-2.60034,-252.161331,1349.156494,100.136627
6,0.016667,148.592819,-14.693973,173.225586,-264.577209,1449.294312,110.166847,-0.759164,-5.838521,-2.475239,-252.161087,1349.144775,100.119164
7,0.019444,148.583984,-14.74631,173.233688,-264.57605,1449.284302,110.157265,-0.543041,-5.929574,-2.357983,-252.19017,1349.116577,100.134232
8,0.022222,148.574783,-14.758774,173.250977,-264.581665,1449.28418,110.154587,-0.811251,-6.075314,-2.479048,-252.16275,1349.053833,100.09494
9,0.025,148.581802,-14.730356,173.295807,-264.580536,1449.269531,110.16584,-0.742325,-5.869808,-2.452425,-252.177917,1349.144043,100.121956
10,0.027778,148.58078,-14.714995,173.284897,-264.593933,1449.271484,110.166405,-0.720277,-5.864268,-2.462747,-252.177032,1349.129272,100.117035
11,0.030556,148.572098,-14.758972,173.304001,-264.585266,1449.268555,110.153229,-1.055004,-5.973764,-2.633939,-252.166504,1349.068359,100.07946
12,0.033333,148.57872,-14.760562,173.279953,-264.580444,1449.265991,110.154648,-0.703548,-5.874555,-2.488523,-252.176941,1349.118042,100.126244
13,0.036111,148.589005,-14.689671,173.323685,-264.59314,1449.262695,110.161293,-0.951335,-5.940787,-2.592581,-252.15947,1349.06311,100.09201
14,0.038889,148.591354,-14.738812,173.294434,-264.586548,1449.27002,110.158272,-0.678214,-5.874503,-2.479446,-252.178665,1349.11853,100.127113
15,0.041667,148.756058,-14.609561,173.219376,-264.605286,1449.224121,110.143967,-0.677084,-5.875426,-2.501908,-252.183075,1349.118164,100.121597
16,0.044444,148.600235,-14.677645,173.273132,-264.596252,1449.272095,110.15593,-0.647775,-5.835639,-2.534115,-252.187729,1349.118164,100.122398
17,0.047222,149.129395,-14.636083,173.247177,-264.631836,1449.249146,110.184143,-0.459458,-5.985682,-2.331977,-252.199677,1349.103271,100.174103
18,0.05,149.114563,-14.625918,173.216476,-264.628784,1449.268677,110.18322,-0.526,-5.975916,-2.469069,-252.204239,1349.109009,100.153702
19,0.052778,179.158936,-10.521269,-20.996674,-263.865631,1453.494995,110.866425,-0.481546,-5.977251,-2.439395,-252.207779,1349.112183,100.170731
20,0.055556,149.148117,-14.633799,173.204468,-264.623291,1449.271606,110.194092,-0.405576,-5.948479,-2.412155,-252.210495,1349.110474,100.161919
21,0.058333,-3.846852,23.288134,4.707255,-263.796478,1450.83606,109.15477,-0.401628,-5.98128,-2.391175,-252.200958,1349.120239,100.18148
22,0.061111,149.111725,-14.63478,173.130661,-264.614563,1449.296143,110.192436,-0.393825,-6.010244,-2.431783,-252.202179,1349.12561,100.182182
23,0.063889,149.11496,-14.592869,173.100464,-264.618378,1449.30835,110.201561,0.517948,-6.166458,-3.370831,-252.113785,1349.401855,100.348175
24,0.066667,149.090012,-14.590141,173.063889,-264.62561,1449.305542,110.206573,0.524042,-6.150991,-3.40575,-252.120377,1349.40918,100.321548
25,0.069444,-165.068405,-6.908717,1.654381,-262.602692,1447.789917,111.479469,0.571865,-6.134212,-3.366772,-252.119247,1349.406616,100.331047
26,0.072222,-165.068405,-6.908717,1.654381,-262.602692,1447.789917,111.479469,0.571865,-6.134212,-3.366772,-252.119247,1349.406616,100.331047
27,0.075,-165.068405,-6.908717,1.654381,-262.602692,1447.789917,111.479469,0.571865,-6.134212,-3.366772,-252.119247,1349.406616,100.331047
28,0.077778,-165.068405,-6.908717,1.654381,-262.602692,1447.789917,111.479469,0.571865,-6.134212,-3.366772,-252.119247,1349.406616,100.331047
29,0.080556,148.958466,-14.705782,173.099243,-264.610413,1449.344971,110.194687,-0.322734,-5.99365,-2.380272,-252.216904,1349.144531,100.169144
30,0.083333,149.012817,-14.690026,173.147781,-264.600189,1449.334106,110.201118,-0.344301,-5.982457,-2.428975,-252.224213,1349.137085,100.154907
31,0.086111,148.98381,-14.691616,173.130157,-264.613464,1449.327881,110.187721,-0.369585,-5.965075,-2.39693,-252.229065,1349.139404,100.16256
32,0.088889,148.98381,-14.691616,173.130157,-264.613464,1449.327881,110.187721,-0.369585,-5.965075,-2.39693,-252.229065,1349.139404,100.16256
33,0.091667,148.98381,-14.691616,173.130157,-264.613464,1449.327881,110.187721,-0.369585,-5.965075,-2.39693,-252.229065,1349.139404,100.16256
34,0.094444,148.98381,-14.691616,173.130157,-264.613464,1449.327881,110.187721,-0.369585,-5.965075,-2.39693,-252.229065,1349.139404,100.16256
35,0.097222,148.48909,-14.602762,173.123154,-264.564636,1449.286133,110.214325,-0.723758,-6.062761,-2.482234,-252.202179,1349.05542,100.093544
36,0.1,148.548782,-14.650678,173.147339,-264.594818,1449.274536,110.180916,-0.443681,-5.99012,-2.36078,-252.222473,1349.105957,100.134056
37,0.102778,148.555252,-14.703255,173.134735,-264.586304,1449.271118,110.16687,-0.776065,-6.07043,-2.510986,-252.202866,1349.051147,100.083878
38,0.105556,148.555252,-14.703255,173.134735,-264.586304,1449.271118,110.16687,-0.776065,-6.07043,-2.510986,-252.202866,1349.051147,100.083878
39,0.108333,148.555252,-14.703255,173.134735,-264.586304,1449.271118,110.16687,-0.776065,-6.07043,-2.510986,-252.202866,1349.051147,100.083878
40,0.111111,148.555252,-14.703255,173.134735,-264.586304,1449.271118,110.16687,-0.776065,-6.07043,-2.510986,-252.202866,1349.051147,100.083878
41,0.113889,148.56665,-14.695837,173.173065,-264.591583,1449.258301,110.1614,-0.809333,-6.076883,-2.440294,-252.205673,1349.036255,100.080635
42,0.116667,148.468246,-14.63719,173.166565,-264.557526,1449.26355,110.213882,-0.864893,-6.04636,-2.47279,-252.210648,1349.03772,100.08976
43,0.119444,148.458664,-14.612669,173.168213,-264.564178,1449.261963,110.220627,-0.885097,-6.042541,-2.486833,-252.211151,1349.033325,100.078972
44,0.122222,148.458664,-14.612669,173.168213,-264.564178,1449.261963,110.220627,-0.885097,-6.042541,-2.486833,-252.211151,1349.033325,100.078972
45,0.125,148.458664,-14.612669,173.168213,-264.564178,1449.261963,110.220627,-0.885097,-6.042541,-2.486833,-252.211151,1349.033325,100.078972
46,0.127778,148.458664,-14.612669,173.168213,-264.564178,1449.261963,110.220627,-0.885097,-6.042541,-2.486833,-252.211151,1349.033325,100.078972
47,0.130556,148.368896,-14.530809,173.087219,-264.574036,1449.286621,110.213745,-0.647532,-5.954325,-2.400614,-252.231033,1349.098389,100.128975
48,0.133333,148.492477,-14.438173,172.965134,-264.589661,1449.237793,110.211861,-0.979356,-6.100901,-2.474732,-252.201431,1349.046875,100.103371
