Format Version,1.23,Take Name,Yuri_prueba3_008,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-10-24 03.34.54.705 P. M.,Total Frames in Take,10973,Total Exported Frames,10973,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,148.442001,-14.314967,172.703369,-264.670227,1449.258667,110.262596,-1.084613,-6.000445,-2.805048,-252.244202,1349.004272,100.067642
1,0.002778,148.402527,-14.291315,172.675735,-264.662476,1449.267090,110.260674,-1.045542,-6.024844,-2.820138,-252.239792,1349.006836,100.057381
2,0.005556,148.461151,-14.247296,172.695419,-264.671143,1449.272339,110.269737,-1.091735,-6.029509,-2.789196,-252.246887,1349.021973,100.053955
3,0.008333,148.439362,-14.304942,172.679443,-264.662689,1449.279785,110.270988,-1.064079,-6.061360,-2.714144,-252.244949,1349.025024,100.055725
4,0.011111,148.388657,-14.313840,172.612823,-264.663055,1449.285767,110.260223,-1.040973,-6.068625,-2.631003,-252.242889,1349.027466,100.078941
5,0.013889,148.432358,-14.249100,172.675110,-264.674500,1449.292358,110.260483,-0.998287,-6.064510,-2.639985,-252.251709,1349.035278,100.071907
6,0.016667,148.402725,-14.265910,172.671127,-264.670471,1449.292358,110.254181,-0.994839,-6.093600,-2.681306,-252.253265,1349.031860,100.067375
7,0.019444,148.437897,-14.273611,172.678604,-264.655518,1449.295288,110.271156,-0.979927,-6.093196,-2.674525,-252.253113,1349.033081,100.067337
8,0.022222,148.462280,-14.259814,172.693390,-264.668243,1449.293579,110.253815,-0.958175,-6.113738,-2.668601,-252.254898,1349.032593,100.065628
