Frame,Time (Seconds),X9_B1,Y,Z,X9_B2,Y,Z
0,0,-264.578949,1449.377075,110.282494,-1.125485,-5.809544,-3.944971
1,0.002778,-264.580261,1449.370361,110.302124,-1.15137,-5.754993,-3.958837
2,0.005556,-264.565369,1449.37561,110.29113,-1.193077,-5.749789,-3.957921
3,0.008333,-264.619141,1449.372681,110.290962,-1.20302,-5.717627,-4.063451
4,0.011111,-264.566467,1449.378906,110.288094,-1.234895,-5.742328,-3.997968
5,0.013889,-264.570251,1449.378174,110.300621,-1.257201,-5.713857,-4.049095
6,0.016667,-263.818726,1450.706421,109.263359,-1.293517,-5.694242,-4.025911
7,0.019444,-264.696198,1449.194946,110.266357,-1.273045,-5.678154,-4.035332
8,0.022222,-263.823792,1450.718628,109.282379,-1.309514,-5.692827,-3.984811
9,0.025,-264.697388,1449.223022,110.288223,-1.344056,-5.702363,-3.892203
10,0.027778,-263.869415,1450.653442,109.187248,-1.40022,-5.726056,-3.125458
11,0.030556,-262.987457,1449.316772,111.038536,-1.262872,-5.890431,-2.977522
12,0.033333,-264.693665,1449.257446,110.274742,-1.240013,-5.877857,-2.924294
13,0.036111,-262.974518,1449.331421,111.023392,-1.256606,-5.886544,-2.921123
14,0.038889,-264.772552,1448.906006,110.308151,-1.2908,-5.898127,-2.910648
15,0.041667,-262.979706,1449.357056,111.029984,-1.282315,-5.912461,-2.853863
16,0.044444,-264.761932,1448.919922,110.306,-1.3144,-5.897962,-2.90419
17,0.047222,-263.031921,1449.684204,111.052437,-1.282849,-5.931227,-2.903916
18,0.05,-264.700348,1449.290771,110.266907,-1.214242,-5.942745,-2.830842
19,0.052778,-263.031433,1449.68457,111.051697,-1.206535,-5.936162,-2.841944
20,0.055556,-264.672638,1449.329834,110.284218,-1.192339,-5.942577,-2.871251
21,0.058333,-263.067841,1449.710327,111.063141,-1.191657,-5.936893,-2.876437
22,0.061111,-264.658478,1449.313354,110.273827,-1.156849,-5.962922,-2.862637
23,0.063889,-263.051544,1449.681763,111.066887,-1.314347,-5.790094,-3.854637
24,0.066667,-264.654968,1449.288574,110.283134,-1.125765,-5.961642,-2.877572
25,0.069444,-264.544128,1449.414429,110.310005,-1.03078,-5.944705,-2.881002
26,0.072222,-264.555115,1449.393677,110.30648,-1.177683,-5.755859,-3.972224
27,0.075,-264.558441,1449.392212,110.301414,-1.224066,-5.757233,-4.042555
28,0.077778,-264.55368,1449.376831,110.301315,-1.196295,-5.765549,-4.039237
29,0.080556,-264.559814,1449.363037,110.310081,-1.195302,-5.760468,-3.947876
30,0.083333,-264.550018,1449.348999,110.308304,-0.953053,-5.968752,-2.814147
31,0.086111,-264.55188,1449.354858,110.305038,-0.979863,-5.942997,-2.881334
32,0.088889,-264.556,1449.350952,110.300125,-1.174139,-5.746332,-4.038035
33,0.091667,-264.556244,1449.350708,110.307327,-1.201624,-5.754008,-4.054324
34,0.094444,-264.557037,1449.354492,110.298752,-1.022902,-5.937656,-2.87466
35,0.097222,-264.530304,1449.336426,110.344002,-1.045277,-5.926754,-2.841627
36,0.1,-262.965759,1449.188599,111.027489,-1.061287,-5.942126,-2.885139
37,0.102778,-264.66687,1449.179199,110.281349,-1.103652,-5.939977,-2.915028
38,0.105556,-262.937134,1449.208984,111.044243,-1.155673,-5.913109,-2.89374
39,0.108333,-264.665649,1449.218872,110.301506,-1.30747,-5.756644,-3.927253
40,0.111111,-263.011871,1449.63855,111.070198,-1.21077,-5.956204,-2.92049
41,0.113889,-264.671661,1449.252808,110.282104,-1.235193,-5.927516,-2.891516
42,0.116667,-263.013702,1449.670532,111.061447,-1.255687,-5.939561,-2.897361
43,0.119444,-264.66861,1449.302124,110.293869,-1.218094,-5.940792,-2.837717
44,0.122222,-264.909271,1449.361694,110.522598,-1.241259,-5.94582,-2.806051
45,0.125,-264.675079,1449.327759,110.291878,-1.281957,-5.966269,-2.836886
46,0.127778,-264.673889,1449.337158,110.294449,-1.287677,-5.944513,-2.893979
47,0.130556,-264.914551,1449.382935,110.508934,-1.003814,-5.886189,-2.721179
48,0.133333,-264.681366,1449.347412,110.288872,-1.270609,-5.950122,-2.817186
49,0.136111,-264.683197,1449.352661,110.308014,-0.973606,-5.858358,-2.715045
50,0.138889,-264.912598,1449.381714,110.509483,-1.255808,-5.980962,-2.819061
51,0.141667,-264.643036,1449.361938,110.312569,-1.216317,-5.994348,-2.776276
52,0.144444,-264.651123,1449.342041,110.324982,-1.23321,-6.002176,-2.896007
53,0.147222,-264.898254,1449.403076,110.50927,-1.386394,-5.831599,-3.815254
54,0.15,-264.667694,1449.3302,110.293869,-1.368439,-5.841639,-3.836031
55,0.152778,-264.662201,1449.312744,110.293747,-1.35605,-5.837223,-3.865252
56,0.155556,-264.669434,1449.294922,110.293816,-1.276373,-5.834395,-3.905557
57,0.158333,-264.684662,1449.248291,110.276337,-1.290557,-5.830334,-3.906116
58,0.161111,-264.578674,1449.387939,110.301872,-1.296115,-5.835132,-3.923692
59,0.163889,-264.589142,1449.366699,110.299583,-1.245715,-5.821823,-3.898194
60,0.166667,-264.580872,1449.362427,110.296745,-1.224015,-5.814038,-3.999184
61,0.169444,-262.989563,1449.167358,111.028938,-1.167198,-5.8048,-3.977346
62,0.172222,-264.807159,1448.7146,110.326622,-1.207001,-5.826749,-3.939836
63,0.175,-263.85141,1450.157959,109.209198,-1.166646,-5.8372,-3.969568
64,0.177778,-262.992584,1449.149414,111.031525,-0.988468,-6.050687,-2.781426
65,0.180556,-264.79303,1448.717041,110.324669,-1.009059,-6.046546,-2.798626
66,0.183333,-263.009186,1449.140137,110.993019,-1.182033,-5.857736,-3.950479
67,0.186111,-264.734863,1450.70813,110.335327,-1.028629,-6.04996,-2.780118
68,0.188889,-263.772461,1450.19043,109.214066,-1.05902,-6.064674,-2.758655
69,0.191667,-264.419708,1450.720215,110.523895,-1.05611,-6.064298,-2.760532
70,0.194444,-264.610962,1450.792114,110.398239,-1.013912,-6.042593,-2.756758
71,0.197222,-264.666199,1449.259888,110.247955,-1.06859,-6.061154,-2.820404
72,0.2,-264.662018,1449.284424,110.26001,-1.064527,-6.031281,-2.804915
73,0.202778,-264.653717,1449.297485,110.267082,-0.710594,-5.962012,-2.601094
74,0.205556,-264.670532,1449.341797,110.289803,-0.695449,-5.966438,-2.53545
75,0.208333,-264.924042,1449.389526,110.530067,-0.755338,-5.933729,-2.598858
76,0.211111,-264.662323,1449.365356,110.296654,-0.746236,-5.943538,-2.639918
77,0.213889,-264.671814,1449.376465,110.30825,-0.721392,-5.958061,-2.600777
78,0.216667,-264.854675,1449.464722,110.532455,-0.719222,-5.93931,-2.658199
79,0.219444,-264.642212,1449.417603,110.312141,-0.670352,-5.929918,-2.65255
80,0.222222,-264.631348,1449.415649,110.311661,-0.666496,-5.956867,-2.653958
81,0.225,-264.642548,1449.402588,110.321693,-0.653303,-5.93606,-2.645474
82,0.227778,-264.614197,1449.373047,110.278381,-0.890419,-6.051886,-2.710701
83,0.230556,-264.619934,1449.357056,110.282631,-0.579469,-5.956854,-2.640127
84,0.233333,-264.616333,1449.326538,110.275612,-0.832758,-6.048896,-2.752816
85,0.236111,-264.615479,1449.309814,110.281242,-0.842475,-6.051531,-2.706509
86,0.238889,-264.600677,1449.262451,110.298309,-0.79846,-6.052347,-2.720657
87,0.241667,-264.623962,1449.265747,110.291718,-0.785416,-6.07093,-2.701422
