Frame,Time (Seconds),X10_B1,Y,Z,X,Y,Z,X10_B2,Y10_B2,Z10_B2
0,0,-264.608368,1449.265381,110.280533,-0.825661,-6.058867,-2.676749,-252.277618,1349.01001,100.101952
1,0.002778,-264.616211,1449.262695,110.272758,-0.815309,-6.051364,-2.708772,-252.284027,1349.000366,100.07592
2,0.005556,-264.615967,1449.273071,110.262627,-0.870015,-6.05884,-2.696439,-252.288666,1349.008423,100.08828
3,0.008333,-264.624023,1449.272949,110.278717,-0.859011,-6.063296,-2.68059,-252.286163,1349.015991,100.090233
4,0.011111,-264.621643,1449.281372,110.276031,-0.846396,-6.08038,-2.7209,-252.283875,1349.012939,100.082657
5,0.013889,-264.625305,1449.285767,110.271202,-0.859468,-6.0917,-2.637922,-252.284729,1349.021118,100.08226
6,0.016667,-264.630005,1449.293091,110.271095,-0.89788,-6.076611,-2.654649,-252.292938,1349.029907,100.062141
7,0.019444,-264.636017,1449.28833,110.27626,-0.897788,-6.080306,-2.643344,-252.288406,1349.026123,100.063332
8,0.022222,-264.636749,1449.296753,110.265549,-0.961766,-6.096233,-2.622431,-252.291031,1349.044678,100.063072
9,0.025,-264.635071,1449.303101,110.265015,-0.976152,-6.086855,-2.63019,-252.297287,1349.04541,100.068771
10,0.027778,-264.619598,1449.303223,110.270432,-1.020723,-6.093322,-2.660183,-252.294983,1349.055054,100.06752
11,0.030556,-264.636841,1449.302734,110.27047,-0.990449,-6.071395,-2.650767,-252.291656,1349.042847,100.052673
12,0.033333,-264.620117,1449.301392,110.274208,-1.028121,-6.077432,-2.583537,-252.291977,1349.052734,100.073433
13,0.036111,-264.643799,1449.298096,110.271767,-1.183428,-5.875208,-3.664566,-252.379028,1349.155029,100.04953
14,0.038889,-264.627228,1449.303101,110.265236,-1.050508,-6.067518,-2.685165,-252.290451,1349.05127,100.053902
15,0.041667,-264.627625,1449.301514,110.264961,-1.04144,-6.044189,-2.702369,-252.294266,1349.047363,100.057167
16,0.044444,-264.62561,1449.291382,110.255226,-1.247709,-5.870629,-3.653964,-252.381836,1349.163208,100.050911
17,0.047222,-264.6185,1449.288818,110.259285,-1.082407,-6.029744,-2.738375,-252.290634,1349.045044,100.057983
18,0.05,-264.618774,1449.280396,110.272644,-1.234319,-5.861504,-3.733126,-252.38147,1349.155884,100.043663
19,0.052778,-264.633484,1449.275513,110.273712,-1.205766,-5.851946,-3.766546,-252.384125,1349.144775,100.04834
20,0.055556,-262.973541,1449.738037,111.12114,-1.211543,-5.828908,-3.725351,-252.392136,1349.137695,100.048042
21,0.058333,-264.620758,1449.269043,110.243309,-1.221356,-5.816328,-3.758505,-252.386902,1349.136475,100.04837
22,0.061111,-263.037689,1449.642334,111.036232,-1.067827,-5.973642,-2.862599,-252.299286,1349.010986,100.066589
23,0.063889,-264.621368,1449.266113,110.259666,-1.212296,-5.827316,-3.823827,-252.386246,1349.128052,100.055977
24,0.066667,-264.626343,1449.261475,110.262474,-0.992652,-5.967308,-2.756145,-252.300079,1349.003662,100.061378
25,0.069444,-264.615173,1449.260376,110.263977,-1.154009,-5.819848,-3.704671,-252.385315,1349.123413,100.076645
26,0.072222,-264.629028,1449.261108,110.267738,-1.134583,-5.823566,-3.68289,-252.384186,1349.119141,100.084152
27,0.075,-264.622955,1449.267944,110.273865,-0.937881,-5.97113,-2.764603,-252.304642,1348.993042,100.070244
28,0.077778,-264.656799,1449.214478,110.254883,-1.179585,-5.824843,-3.754449,-252.393127,1349.113403,100.065163
29,0.080556,-264.628693,1449.262085,110.270012,-1.123246,-5.826756,-3.75703,-252.397003,1349.1073,100.079826
30,0.083333,-264.625793,1449.268188,110.269279,-1.16785,-5.816982,-3.791109,-252.396561,1349.117676,100.074249
31,0.086111,-264.653442,1449.228149,110.258278,-1.125644,-5.867554,-3.701564,-252.393906,1349.124634,100.087105
32,0.088889,-264.654602,1449.227417,110.260757,-0.919848,-6.043517,-2.689066,-252.311462,1349.008301,100.077217
33,0.091667,-264.645386,1449.228394,110.258743,-1.07429,-5.882216,-3.617081,-252.400375,1349.124268,100.075249
34,0.094444,-264.63269,1449.28894,110.271553,-0.95702,-6.099205,-2.651979,-252.316147,1349.025757,100.075401
35,0.097222,-264.651306,1449.251709,110.263855,-0.960116,-6.075743,-2.734704,-252.312424,1349.026245,100.086807
36,0.1,-264.621277,1449.29541,110.273369,-1.085052,-5.936504,-3.567562,-252.394196,1349.143677,100.089043
37,0.102778,-264.628204,1449.298584,110.268959,-0.864431,-6.130171,-2.621128,-252.306198,1349.016846,100.085487
38,0.105556,-264.615112,1449.296509,110.270103,-0.914789,-6.109826,-2.599157,-252.3134,1349.028687,100.070435
39,0.108333,-264.614105,1449.302612,110.281258,-0.904102,-6.105792,-2.581778,-252.310516,1349.021729,100.089989
40,0.111111,-264.621368,1449.300659,110.257568,-0.943877,-6.139518,-2.596869,-252.312805,1349.032837,100.080711
41,0.113889,-264.611359,1449.299316,110.267105,-0.930125,-6.146937,-2.535306,-252.305984,1349.028198,100.089722
42,0.116667,-264.606964,1449.293945,110.264038,-0.869503,-6.124303,-2.622867,-252.308334,1349.012939,100.083595
43,0.119444,-264.611206,1449.285034,110.271049,-0.922127,-6.111366,-2.630244,-252.306335,1349.019531,100.084442
44,0.122222,-264.616638,1449.276123,110.274078,-0.912393,-6.129393,-2.659337,-252.309769,1349.009644,100.074799
45,0.125,-264.609711,1449.270142,110.26416,-0.936412,-6.124187,-2.598408,-252.304108,1349.009888,100.077293
46,0.127778,-264.609619,1449.276367,110.2537,-0.951422,-6.136106,-2.608943,-252.304764,1349.005127,100.084244
47,0.130556,-264.609314,1449.269409,110.262535,-0.998637,-6.116689,-2.660692,-252.307266,1348.999268,100.073669
48,0.133333,-264.608093,1449.260864,110.256378,-1.119521,-5.920277,-3.690382,-252.38884,1349.110107,100.092796
49,0.136111,-264.607208,1449.259521,110.261574,-0.983984,-6.119503,-2.640507,-252.299484,1348.990356,100.072868
50,0.138889,-264.604858,1449.261353,110.2603,-1.011897,-6.107953,-2.688927,-252.297943,1348.990234,100.091248
51,0.141667,-264.600586,1449.257446,110.254044,-1.049427,-6.087221,-2.750343,-252.297821,1348.989624,100.070953
52,0.144444,-264.59436,1449.260864,110.251137,-1.040202,-6.082301,-2.757108,-252.288406,1348.987671,100.069275
53,0.147222,-264.238342,1450.852051,110.569099,-1.00405,-6.088941,-2.737706,-252.284561,1348.985718,100.083344
54,0.15,-264.619385,1449.206787,110.257904,-1.004375,-6.060332,-2.718368,-252.287872,1348.978638,100.093788
55,0.152778,-264.597778,1449.261841,110.251701,-1.039223,-6.023822,-2.745259,-252.29126,1348.988037,100.064827
56,0.155556,-264.593658,1449.27356,110.261841,-1.027977,-6.029601,-2.780624,-252.29364,1348.990356,100.087181
57,0.158333,-264.59668,1449.282104,110.262657,-1.166308,-5.876275,-3.669344,-252.380249,1349.12146,100.077728
58,0.161111,-264.606445,1449.277588,110.263222,-1.02798,-6.020683,-2.772667,-252.300858,1349.009155,100.075333
59,0.163889,-264.611877,1449.284058,110.270721,-0.99208,-6.040699,-2.749082,-252.296692,1349.013794,100.087875
60,0.166667,-264.627167,1449.244751,110.251579,-1.190826,-5.881392,-3.741031,-252.380051,1349.132813,100.082047
61,0.169444,-264.624664,1449.253906,110.255119,-1.039132,-6.022276,-2.752312,-252.302795,1349.023438,100.070892
62,0.172222,-264.644836,1449.251099,110.269653,-0.999598,-6.038662,-2.732621,-252.295471,1349.022705,100.081146
63,0.175,-264.605896,1449.307617,110.259567,-0.991373,-6.022582,-2.704736,-252.298569,1349.029297,100.081062
64,0.177778,-264.618469,1449.311279,110.259705,-1.025898,-6.061252,-2.7054,-252.303696,1349.033691,100.077995
65,0.180556,-264.631958,1449.276978,110.254601,-1.023353,-6.057574,-2.696619,-252.296951,1349.040771,100.074516
66,0.183333,-264.635651,1449.275635,110.263565,-0.999499,-6.074454,-2.68461,-252.301697,1349.038574,100.083122
67,0.186111,-264.615997,1449.313354,110.263054,-0.990046,-6.08143,-2.722817,-252.300735,1349.042725,100.076927
68,0.188889,-264.647034,1449.268433,110.252968,-1.006728,-6.086567,-2.72639,-252.302643,1349.044189,100.093376
69,0.191667,-264.624908,1449.309692,110.260712,-1.103637,-5.924938,-3.575874,-252.386505,1349.143433,100.065224
70,0.194444,-264.655518,1449.258667,110.268837,-1.113247,-5.92617,-3.654469,-252.386307,1349.139648,100.072632
71,0.197222,-264.65802,1449.256104,110.254128,-0.979926,-6.083223,-2.636629,-252.315491,1349.040039,100.082413
72,0.2,-264.633118,1449.29248,110.267021,-0.99384,-6.112111,-2.680889,-252.310638,1349.036011,100.089622
73,0.202778,-264.638031,1449.292236,110.272034,-0.976701,-6.11027,-2.647452,-252.308609,1349.03186,100.07029
74,0.205556,-264.631226,1449.290161,110.263435,-0.918256,-6.13488,-2.611379,-252.306961,1349.021973,100.081398
75,0.208333,-264.636139,1449.285278,110.273903,-1.012445,-5.939768,-3.550939,-252.397949,1349.130615,100.072769
76,0.211111,-264.627869,1449.281372,110.269394,-1.032966,-5.921144,-3.681548,-252.398697,1349.130737,100.077324
77,0.213889,-264.636536,1449.269165,110.265617,-0.927346,-6.096308,-2.713392,-252.308014,1349.010254,100.073799
78,0.216667,-264.633972,1449.272217,110.265198,-0.893359,-6.078419,-2.646356,-252.300293,1348.999146,100.062035
79,0.219444,-264.631836,1449.268555,110.257477,-0.942942,-6.086301,-2.644825,-252.300507,1349.000488,100.073997
80,0.222222,-264.620575,1449.264282,110.268738,-1.118589,-5.913754,-3.668009,-252.389969,1349.130493,100.082703
81,0.225,-264.629761,1449.270142,110.263687,-1.135053,-5.911468,-3.661966,-252.386276,1349.125488,100.0634
82,0.227778,-264.626495,1449.267456,110.255928,-1.100586,-5.895124,-3.645243,-252.387939,1349.124023,100.07798
83,0.230556,-264.621124,1449.271851,110.236862,-0.967802,-6.059213,-2.651386,-252.290344,1349.008179,100.069763
84,0.233333,-264.625793,1449.270508,110.263153,-0.955232,-6.062442,-2.658244,-252.293762,1349.006836,100.076149
85,0.236111,-264.6297,1449.266968,110.268707,-0.985752,-6.059901,-2.694907,-252.283936,1349.00293,100.083069
86,0.238889,-264.627319,1449.27417,110.26725,-0.991029,-6.058718,-2.685288,-252.292786,1349.010132,100.074089
87,0.241667,-264.632294,1449.277954,110.268997,-1.009457,-6.007047,-2.754936,-252.299042,1349.006836,100.077545
88,0.244444,-264.651825,1449.237427,110.253571,-1.032242,-6.044118,-2.754639,-252.29248,1349.024536,100.088722
89,0.247222,-264.655121,1449.242065,110.269905,-1.021874,-6.029007,-2.663987,-252.289063,1349.0271,100.100212
90,0.25,-264.65918,1449.253784,110.276443,-1.102252,-6.033747,-2.797982,-252.289291,1349.035034,100.080818
91,0.252778,-264.657379,1449.259399,110.261505,-0.979607,-6.02696,-2.673933,-252.292725,1349.022461,100.07663
92,0.255556,-264.651642,1449.264526,110.248657,-1.071295,-6.026485,-2.779274,-252.292221,1349.045288,100.07476
93,0.258333,-264.638306,1449.31311,110.272278,-1.06317,-6.022213,-2.704639,-252.294983,1349.042236,100.079788
94,0.261111,-264.65799,1449.266968,110.266541,-1.021276,-6.052574,-2.680583,-252.290909,1349.047729,100.092438
95,0.263889,-264.648926,1449.266602,110.277946,-1.044646,-6.083121,-2.708122,-252.295944,1349.047607,100.08831
96,0.266667,-264.618774,1449.318726,110.276421,-1.017382,-6.084877,-2.663812,-252.296097,1349.044678,100.076225
97,0.269444,-264.633392,1449.324463,110.279564,-1.036141,-6.095254,-2.633312,-252.297348,1349.05835,100.081886
98,0.272222,-264.623901,1449.329224,110.274147,-1.005651,-6.087462,-2.583116,-252.294327,1349.054443,100.084984
99,0.275,-264.626343,1449.319824,110.272255,-0.840031,-5.845454,-3.476962,-252.400635,1349.228149,100.12645
100,0.277778,-264.626129,1449.324097,110.275887,-0.666795,-5.970114,-2.610348,-252.323151,1349.109131,100.095566
101,0.280556,-264.619446,1449.326904,110.268661,-0.936325,-6.111902,-2.624495,-252.29686,1349.058105,100.079559
102,0.283333,-264.627258,1449.314087,110.283646,-0.924892,-6.120332,-2.602072,-252.293198,1349.055176,100.076492
103,0.286111,-264.615631,1449.308838,110.278908,-0.913421,-6.12826,-2.630053,-252.290039,1349.048218,100.083603
104,0.288889,-264.614746,1449.299561,110.281784,-0.87442,-6.109627,-2.619285,-252.300385,1349.044312,100.075531
105,0.291667,-264.625549,1449.29541,110.28846,-0.859371,-6.117604,-2.611962,-252.291443,1349.037842,100.09214
106,0.294444,-264.618469,1449.280762,110.281105,-0.823926,-6.142232,-2.595405,-252.298004,1349.034424,100.06395
107,0.297222,-264.618927,1449.283813,110.264374,-0.996778,-5.949339,-3.576268,-252.382248,1349.150024,100.070892
108,0.3,-264.610138,1449.274658,110.27037,-0.826052,-6.107647,-2.637667,-252.298569,1349.015015,100.075775
109,0.302778,-264.617004,1449.269287,110.270439,-0.763287,-6.147915,-2.532295,-252.291794,1349.003296,100.071022
110,0.305556,-264.594849,1449.263062,110.272758,-0.788127,-6.136409,-2.626547,-252.289139,1349.000366,100.072945
111,0.308333,-264.610718,1449.24646,110.269615,-0.781477,-6.095738,-2.611679,-252.291199,1348.996582,100.064491
112,0.311111,-264.610443,1449.245361,110.269592,-0.754509,-6.110456,-2.561408,-252.29541,1348.988037,100.087975
