Frame,Time (Seconds),X,Y,Z,X11_B1,Y11_B1,Z11_B1,X,Y,Z,X11_B2,Y11_B2,Z11_B2
0,0,148.635071,-14.503452,172.900955,-264.638855,1449.380615,110.310097,-0.706069,-6.054317,-2.489659,-252.345108,1349.124268,100.156448
1,0.002778,148.754425,-14.401413,172.765594,-264.661987,1449.340088,110.309486,-0.795141,-6.060501,-2.519477,-252.341095,1349.118286,100.145515
2,0.005556,148.753098,-14.367679,172.745651,-264.670471,1449.340942,110.320755,-0.778577,-6.093932,-2.49162,-252.339066,1349.105103,100.151535
3,0.008333,148.297897,-14.32501,172.618286,-264.626678,1449.310913,110.274437,-0.829072,-6.085484,-2.473786,-252.341354,1349.101318,100.140091
4,0.011111,148.311737,-14.277708,172.657104,-264.634277,1449.303833,110.278084,-1.144807,-6.208451,-2.55891,-252.325119,1349.03894,100.123291
5,0.013889,148.27005,-14.291484,172.65715,-264.639313,1449.290405,110.278946,-1.150759,-6.185992,-2.583095,-252.321899,1349.027832,100.113335
6,0.016667,148.337357,-14.240719,172.73085,-264.637177,1449.270752,110.26239,-1.204456,-6.190018,-2.573984,-252.325897,1349.016968,100.111542
7,0.019444,148.280777,-14.29918,172.723511,-264.64267,1449.253784,110.255119,-1.197449,-6.170524,-2.611205,-252.325027,1348.994873,100.09446
8,0.022222,148.846756,-13.876125,172.516388,-264.859924,1449.089722,110.346886,-1.185154,-6.206715,-2.612815,-252.321274,1348.979614,100.085602
9,0.025,145.540939,-15.648368,175.16156,-264.692719,1450.191528,110.400589,-1.432298,-6.013059,-3.598437,-252.422516,1349.095215,100.087753
10,0.027778,147.90036,-14.4007,173.215378,-264.818787,1449.398193,110.406113,-1.409228,-5.995846,-3.645804,-252.414352,1349.089355,100.079002
11,0.030556,144.24382,-16.67458,176.609573,-264.557373,1450.715576,110.372849,-1.410206,-5.98397,-3.715577,-252.427216,1349.077881,100.067612
12,0.033333,148.370575,-14.468472,172.992813,-264.634796,1449.19519,110.238197,-1.376388,-5.966867,-3.789748,-252.420547,1349.070435,100.06974
13,0.036111,-85.546173,-78.915131,118.38163,-262.928131,1449.17395,111.009087,-1.388887,-5.954549,-3.771262,-252.43103,1349.074219,100.054832
14,0.038889,147.866379,-14.975666,173.368164,-264.545929,1449.352417,110.249847,-1.389083,-5.922152,-3.868469,-252.435959,1349.07605,100.067253
15,0.041667,147.911621,-15.009194,173.326309,-264.544189,1449.348511,110.263786,-1.294553,-5.904918,-3.862081,-252.428986,1349.068604,100.058304
16,0.044444,148.36792,-14.642865,173.116531,-264.623932,1449.213623,110.231712,-1.233583,-5.890624,-3.840261,-252.43721,1349.073486,100.05938
17,0.047222,147.94487,-15.04928,173.325104,-264.540497,1449.360107,110.256233,-1.221281,-5.872986,-3.86978,-252.43071,1349.076416,100.078125
18,0.05,148.412506,-14.663766,173.119324,-264.627289,1449.217285,110.238724,-1.159792,-5.84997,-3.884604,-252.432907,1349.079956,100.057945
19,0.052778,148.475357,-14.668859,173.110535,-264.633972,1449.22229,110.251289,-1.148658,-5.846265,-3.887512,-252.431274,1349.092529,100.074936
20,0.055556,148.420837,-14.635443,173.061691,-264.632965,1449.24353,110.264709,-1.154565,-5.822962,-3.870609,-252.425903,1349.107666,100.069763
21,0.058333,148.40889,-14.615982,173.028275,-264.641968,1449.262329,110.265114,-1.103146,-5.821572,-3.800149,-252.434875,1349.114258,100.07283
22,0.061111,148.420853,-14.581428,173.068634,-264.650513,1449.273315,110.277344,-1.091574,-5.792856,-3.81328,-252.438812,1349.129761,100.071381
23,0.063889,148.388275,-14.590611,173.018066,-264.649719,1449.298218,110.270622,-1.08302,-5.807796,-3.81356,-252.434372,1349.138794,100.082458
24,0.066667,148.358047,-14.564419,173.002304,-264.65033,1449.307495,110.278458,-1.103875,-5.839715,-3.750406,-252.431992,1349.150635,100.075516
25,0.069444,148.309265,-14.541033,172.954788,-264.651459,1449.324951,110.291397,-1.167688,-5.831289,-3.800827,-252.425339,1349.17395,100.08065
26,0.072222,148.284592,-14.540291,172.910019,-264.639404,1449.33667,110.284538,-1.157483,-5.847003,-3.73736,-252.419144,1349.169434,100.093674
27,0.075,148.270432,-14.459727,172.87558,-264.66275,1449.352905,110.2957,-0.897188,-5.748989,-3.638781,-252.443817,1349.231323,100.118065
28,0.077778,-2.511475,23.253922,2.297238,-263.896332,1450.328735,109.476707,-0.920941,-5.758044,-3.648583,-252.445663,1349.243164,100.130623
29,0.080556,-82.986839,-76.816376,119.839783,-263.163147,1449.760498,111.122681,-0.910296,-5.748899,-3.565116,-252.445541,1349.244751,100.127357
30,0.083333,143.871735,-20.827198,174.862701,-263.793701,1451.036987,111.395432,-0.924097,-5.756946,-3.535213,-252.443848,1349.23645,100.122528
31,0.086111,143.848801,-20.864174,174.857803,-263.796661,1451.0354,111.401161,-1.238819,-5.867664,-3.673322,-252.423431,1349.177612,100.093002
32,0.088889,148.433243,-14.574594,172.810608,-264.739899,1449.375122,110.339233,-0.963163,-5.77879,-3.567939,-252.445313,1349.241211,100.105682
33,0.091667,-85.013733,-77.368874,117.801994,-263.013153,1449.703735,111.049301,-1.244516,-5.890124,-3.614405,-252.430771,1349.172974,100.095291
34,0.094444,148.581192,-14.476678,172.917175,-264.6828,1449.361206,110.341446,-0.837747,-5.938055,-2.673137,-252.36908,1349.110229,100.106735
35,0.097222,-85.26268,-77.317772,117.492928,-263.000916,1449.688354,111.058662,-1.099626,-6.08753,-2.653591,-252.332306,1349.052246,100.090416
36,0.1,148.358398,-14.262039,172.787384,-264.67746,1449.271118,110.279312,-1.267769,-5.915823,-3.594638,-252.418549,1349.144165,100.071877
37,0.102778,-85.225403,-77.309517,117.657089,-263.013214,1449.649292,111.052315,-1.294644,-5.920185,-3.620701,-252.421707,1349.138306,100.074478
38,0.105556,148.862137,-13.83034,172.616043,-264.909271,1449.10437,110.37101,-1.282257,-5.925237,-3.658631,-252.413071,1349.128418,100.08046
39,0.108333,-85.397911,-77.074081,117.571899,-263.007996,1449.660522,111.079468,-1.324332,-5.925821,-3.710129,-252.408478,1349.120117,100.078621
40,0.111111,148.312958,-14.441556,173.057495,-264.651428,1449.253662,110.270096,-1.325428,-5.931677,-3.745116,-252.416885,1349.110962,100.074432
41,0.113889,-85.34317,-77.002174,117.665199,-263.017975,1449.62854,111.066444,-1.191051,-6.141864,-2.676542,-252.317749,1348.968994,100.058968
42,0.116667,147.907425,-14.888163,173.39003,-264.552185,1449.369629,110.283455,-1.417999,-5.950634,-3.816592,-252.416702,1349.103516,100.051971
43,0.119444,147.89389,-14.923547,173.418716,-264.553864,1449.359985,110.279701,-1.417541,-5.919337,-3.81228,-252.420425,1349.09375,100.049194
44,0.122222,147.892456,-15.037877,173.454193,-264.539246,1449.354004,110.27269,-1.347002,-5.947056,-3.73443,-252.42543,1349.08606,100.052208
45,0.125,147.884369,-15.021608,173.486008,-264.550201,1449.348267,110.271744,-1.453726,-5.916708,-3.898993,-252.426956,1349.084839,100.028519
46,0.127778,147.860886,-15.033008,173.518356,-264.554718,1449.338257,110.275139,-1.247176,-6.086299,-2.840111,-252.332443,1348.913818,100.022041
47,0.130556,147.889191,-15.050088,173.535461,-264.550507,1449.336548,110.276573,-1.239955,-6.080587,-2.861026,-252.327377,1348.908813,100.031456
48,0.133333,147.917862,-15.080135,173.541275,-264.543976,1449.330444,110.288437,-1.395907,-5.888712,-3.84107,-252.432999,1349.078735,100.022781
49,0.136111,147.897293,-15.048073,173.48465,-264.557831,1449.341187,110.277023,-1.411182,-5.865255,-3.914955,-252.428741,1349.083008,100.021561
50,0.138889,147.898132,-15.091873,173.442062,-264.53241,1449.349487,110.294373,-1.351106,-5.831447,-3.916839,-252.433685,1349.081787,100.042137
51,0.141667,147.963654,-15.053274,173.476746,-264.552185,1449.351196,110.304504,-1.353369,-5.832313,-3.958075,-252.438004,1349.089478,100.055298
52,0.144444,147.943619,-15.026087,173.403717,-264.561951,1449.357544,110.305763,-1.308824,-5.818673,-3.881486,-252.438339,1349.104858,100.061493
53,0.147222,148.403336,-14.631721,173.12175,-264.645569,1449.223877,110.294106,-1.246355,-5.811662,-3.858058,-252.426392,1349.106567,100.076317
54,0.15,148.417419,-14.618722,173.05896,-264.642822,1449.244873,110.284409,-1.24786,-5.832263,-3.821924,-252.427902,1349.125366,100.07798
55,0.152778,148.357727,-14.612803,173.003372,-264.631409,1449.267822,110.298843,-1.167667,-5.825311,-3.832551,-252.424561,1349.11853,100.070061
56,0.155556,148.402878,-14.582151,173.013489,-264.653198,1449.278076,110.2995,-1.190768,-5.843947,-3.84341,-252.428772,1349.137329,100.088409
