"","t","x1","y1","z1","x2","y2","z2"
"1",0,-264.5236863,1449.268311,110.1571242,-252.185675,1349.109762,100.1163316
"2",0.002778,-264.4391265,1449.495728,110.315036,-252.1756532,1349.085669,100.0956254
"3",0.005556,-264.2374772,1448.986226,110.4383592,-252.1803436,1349.088281,100.1079526
"4",0.008333,-264.3257676,1448.99502,110.445433,-252.1761872,1349.081592,100.1048462
"5",0.011111,-264.5509481,1449.495337,110.3178116,-252.1844268,1349.099683,100.1116166
"6",0.013889,-264.5846869,1449.269605,110.1661286,-252.1832336,1349.115039,100.11382
"7",0.016667,-264.2891587,1448.997876,110.4408508,-252.1876524,1349.114429,100.118814
"8",0.019444,-264.2429055,1449.001538,110.4503922,-252.185202,1349.112549,100.1187516
"9",0.022222,-264.4102371,1449.001856,110.443019,-252.1845428,1349.102856,100.1061326
"10",0.025,-264.5358324,1449.288965,110.1586884,-252.187204,1349.124463,100.1144712
"11",0.027778,-264.400621,1449.570484,109.971486,-252.1838318,1349.127222,100.1170548
"12",0.030556,-264.1761368,1449.002759,110.4471436,-252.1888246,1349.128516,100.1129944
"13",0.033333,-264.452983,1449.296313,110.1571,-252.1924072,1349.13811,100.1189606
"14",0.036111,-264.0706467,1449.372998,110.3207108,-252.1869048,1349.127685,100.11647
"15",0.038889,-264.2617813,1449.007105,110.4556182,-252.1906064,1349.137915,100.1204298
"16",0.041667,-264.4096085,1449.289136,110.147046,-252.1893616,1349.138306,100.1220962
"17",0.044444,-264.352925,1449.382446,110.3270172,-252.1979156,1349.151001,100.127652
"18",0.047222,-264.4042182,1449.289282,110.1756368,-252.1932068,1349.133276,100.1364428
"19",0.05,-264.3267738,1448.998682,110.437111,-252.1957244,1349.130664,100.1215684
"20",0.052778,-264.1991772,1449.242114,110.5976182,-252.190689,1349.132544,100.1275942
"21",0.055556,-264.2404251,1449.286694,110.1640824,-252.1880372,1349.119482,100.116507
"22",0.058333,-264.1411615,1449.677197,110.1102708,-252.182492,1349.108765,100.1164062
"23",0.061111,-264.2169443,1449.282324,110.1450272,-252.1765504,1349.094849,100.102223
"24",0.063889,-264.1574709,1449.658057,110.1435164,-252.1512938,1349.151758,100.1362548
"25",0.066667,-264.376727,1449.209253,110.1645238,-252.1600128,1349.142895,100.1301908
"26",0.069444,-264.06566,1449.337769,110.5885328,-252.1553376,1349.13645,100.1317518
"27",0.072222,-264.098323,1448.978125,110.4032394,-252.1547026,1349.137427,100.1315474
"28",0.075,-264.0941207,1448.977759,110.403865,-252.1599578,1349.131933,100.1370302
"29",0.077778,-264.3457031,1448.978906,110.396846,-252.1517332,1349.130469,100.1278212
"30",0.080556,-264.1039902,1449.316333,110.4678816,-252.1722932,1349.074365,100.0953156
"31",0.083333,-264.2854858,1449.399121,110.3294798,-252.1730226,1349.082031,100.091287
"32",0.086111,-264.0354904,1448.997339,110.4464538,-252.1764158,1349.079785,100.1022156
"33",0.088889,-264.3322885,1449.581323,110.1392484,-252.1755584,1349.074951,100.102507
"34",0.091667,-263.9687446,1449.643774,110.1588896,-252.1766052,1349.077588,100.0979492
"35",0.094444,-264.2536907,1449.334302,110.3498948,-252.1761016,1349.077343,100.1006148
"36",0.097222,-263.9767038,1449.004956,110.4763702,-252.1745696,1349.06062,100.0839232
"37",0.1,-264.1804199,1449.054102,110.5999284,-252.1811552,1349.071924,100.0898208
"38",0.102778,-264.3144901,1449.291553,110.1486312,-252.1757906,1349.058716,100.0713456
"39",0.109556,-264.3390342,1449.619507,110.3372116,-252.1770144,1349.067358,100.0832184
"40",0.108333,-264.2107127,1449.391577,110.3442122,-252.178522,1349.069971,100.0783936
"41",0.111111,-264.2579429,1449.345166,110.3256332,-252.1802858,1349.071167,100.078099
"42",0.113889,-264.068399,1449.283203,110.4644288,-252.182196,1349.074194,100.0742766
"43",0.116667,-264.1785953,1449.083374,110.6446518,-252.182898,1349.074585,100.0824264
"44",0.119444,-264.4342299,1449.26748,110.1773344,-252.1858034,1349.086182,100.0863432
"45",0.122222,-264.2490844,1449.285132,110.4740708,-252.1875794,1349.087207,100.0871552
"46",0.125,-264.2898446,1448.999145,110.4704284,-252.1901488,1349.092212,100.0821098
